gender,ministries,cdm_townships,Latitude,Longitude,current_living_district,pregnant,five_years_old_children,PWD,house_destroyed,house_damaged,cdm_injured,cdm_family_member_deaths,cdm_family_member_injured
Female,Ministry of Transport and Communications,‌Myaung,21.83164,95.42425,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,Yes,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,Yes,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Tigyaing,23.75452,96.14833,Mandalay,No,No,Yes,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,Yes,Yes,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,Yes,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Monywa,22.12168,95.13963,Mandalay,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Monywa,22.12168,95.13963,Sagaing,No,No,No,Yes,No,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Male,Ministry of Education,Sagaing,21.88008,95.96231,Pakokku,No,Yes,No,Yes,No,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Mandalay,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,Yes
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,Yes,No
Female,Ministry of Education,Lashio,22.95277,97.74747,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,No,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Tachileik,20.45304,99.88403,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Education,Shwebo,22.56996,95.69849,Sagaing,No,Yes,No,Yes,No,No,No,No
Female,Ministry of Education,Amarapura,21.90314,96.04948,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Amarapura,21.90314,96.04948,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Mandalay ,21.9894,96.0921,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Mandalay ,21.9894,96.0921,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Mandalay ,21.9894,96.0921,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,No
Female,Ministry of Education,Pakokku,20.14027,94.92696,Sagaing,No,No,No,Yes,No,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Mandalay,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Naypyidaw,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Education,Wetlet,22.36715,95.78812,Shwebo,No,No,No,No,Yes,No,No,No
Female,Ministry of Education,Wetlet,22.36715,95.78812,Shwebo,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Wetlet,22.36715,95.78812,Shwebo,No,No,No,No,Yes,No,No,No
Male,Ministry of Education,Khin-U,22.77016,95.62149,Shwebo,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Mogoke,22.92139,96.5054,Shwebo,No,No,No,No,Yes,No,No,No
Female,Ministry of Education,Tigyaing,23.75452,96.14833,Sagaing,Yes,No,No,Yes,No,No,No,Yes
Male,Ministry of Education,‌Myaung,21.83164,95.42425,Sagaing,No,No,No,Yes,No,Yes,No,Yes
Male,Ministry of Education,Khin-U,22.77016,95.62149,Shwebo,No,No,No,Yes,No,Yes,No,No
Male,Ministry of Education,Myitkyina,25.38749,97.39036,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Education,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Mandalay,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Education,Mingin,22.87781,94.4942,Sagaing,No,Yes,No,Yes,No,Yes,No,No
Male,Ministry of Education,Kale,23.1933,94.02977,Mandalay,No,Yes,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,Yes,No,Yes,No,No,No,Yes
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,Yes,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Chanayethazan,21.97535,96.0946,Sagaing,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Yangon,No,No,No,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,Yes,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Khin-U,22.77016,95.62149,Sagaing,No,No,No,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,Yes,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,Yes,No,No,No,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,No,No,No,Yes
Female,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Khin-U,22.77016,95.62149,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,No,Yes,Yes,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Transport and Communications,Indaw,24.22252,96.14167,Mandalay,No,Yes,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,Yes,No,Yes,No,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Indaw,24.22252,96.14167,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Wetlet,22.36715,95.78812,Shwebo,No,No,No,Yes,No,No,No,Yes
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,Yes,No,No,Yes,No,No,No,Yes
Male,Ministry of Transport and Communications,Khin-U,22.77016,95.62149,Shwebo,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,Yes
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Khin-U,22.77016,95.62149,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,Yes,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,No,No,Yes,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,Yes,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Mandalay ,21.9894,96.0921,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Monywa,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,Yes,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,,,,,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Indaw,24.22252,96.14167,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Monywa,22.12168,95.13963,Yinmarbin,Yes,Yes,Yes,Yes,No,No,No,Yes
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,Yes,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Mandalay ,21.9894,96.0921,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Chanayethazan,21.97535,96.0946,Mandalay,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Bago,17.33583,96.48389,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Wetlet,22.36715,95.78812,Shwebo,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,Yes
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,Yes
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,Yes,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,Yes,No,Yes
Female,Ministry of Education,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,No,No,No,No
Female,Ministry of Education,Kawlin,23.79026,95.68339,Mandalay,No,No,No,Yes,No,No,No,No
Female,Ministry of Education,Kawlin,23.79026,95.68339,Mandalay,No,No,No,No,Yes,No,No,No
